PBI,Excel,Lookup,Comments,Lookup
29266660,40152708,40152708,,29266660
29267598,40153745,40153745,,#N/A
29267732,29539752,29539752,,29267732
29267939,40152375,40152375,,29267939
29269859,29276760,29276760,,29269859
29273827,29291060,29291060,,29273827
29275764,40152648,40152648,,29275764
29276199,40153348,40153348,,29276199
29277206,40153627,40153627,,29277206
29277566,40153656,40153656,,#N/A
29278710,29185388,29185388,,#N/A
29278774,40108679,40108679,,#N/A
29279932,40153363,#N/A,POC not present in Comm BI,29279932
29281752,40122601,40122601,,#N/A
29282227,29195560,29195560,,29282227
29282628,29347387,29347387,,29282628
29283186,29584475,29584475,,#N/A
29283784,29748567,29748567,,29283784
29283934,29583390,29583390,,#N/A
29290839,29721322,29721322,,29290839
29291060,29786077,29786077,,29291060
29291997,29267939,29267939,,29291997
29292952,40150092,40150092,,29292952
29315627,29216991,29216991,,29315627
29317804,40147590,40147590,,#N/A
29318930,29426752,29426752,,#N/A
29319502,40147192,40147192,,29319502
29320026,40134801,40134801,,#N/A
29360146,29548246,29548246,,29360146
29360797,29226367,29226367,,29360797
29363716,29237417,29237417,,29363716
29365811,40023808,40023808,,#N/A
29366277,29645852,29645852,,#N/A
29366660,29188849,29188849,,29366660
29370120,29269888,29269888,,#N/A
29373873,29758986,29758986,,29373873
29375196,29669173,29669173,,29375196
29417877,29531891,29531891,,29417877
29421200,40152998,40152998,,29421200
29421578,40154029,40154029,,#N/A
29421858,29746328,29746328,,29421858
29426752,40151824,40151824,,29426752
29447147,40153831,40153831,,29447147
29447955,40134518,40134518,,29447955
29453744,40154189,40154189,,29453744
29467082,40154271,40154271,,29467082
29472731,40154667,40154667,,#N/A
29491534,29427845,29427845,,29491534
29494777,40122681,40122681,,29494777
29497776,40153154,40153154,,29497776
29524978,40129302,40129302,,29524978
29525053,40154175,40154175,,29525053
29525189,29280793,29280793,,29525189
29529507,40154344,40154344,,29529507
29531891,40154350,40154350,,29531891
29547293,40154669,40154669,,29547293
29548246,29291161,29291161,,29548246
29548672,40148719,40148719,,29548672
